date,article_count
2010-01-01,7160
2010-02-01,6845
2010-03-01,7898
2010-04-01,7312
2010-05-01,7145
2010-06-01,8689
2010-07-01,8959
2010-08-01,8188
2010-09-01,9082
2010-10-01,9462
2010-11-01,9702
2010-12-01,8663
2011-01-01,9074
2011-02-01,8390
2011-03-01,9630
2011-04-01,8615
2011-05-01,9097
2011-06-01,8886
2011-07-01,8608
2011-08-01,8232
2011-09-01,9281
2011-10-01,9131
2011-11-01,9058
2011-12-01,7668
2012-01-01,8632
2012-02-01,8333
2012-03-01,9287
2012-04-01,8165
2012-05-01,9618
2012-06-01,8651
2012-07-01,8641
2012-08-01,8379
2012-09-01,8086
2012-10-01,8775
2012-11-01,8569
2012-12-01,7121
2013-01-01,8406
2013-02-01,7749
2013-03-01,8586
2013-04-01,8076
2013-05-01,8896
2013-06-01,8757
2013-07-01,8958
2013-08-01,8559
2013-09-01,9148
2013-10-01,9731
2013-11-01,9383
2013-12-01,8188
2014-01-01,9383
2014-02-01,8685
2014-03-01,9611
2014-04-01,9078
2014-05-01,9862
2014-06-01,10017
2014-07-01,9652
2014-08-01,8850
2014-09-01,9169
2014-10-01,9387
2014-11-01,8761
2014-12-01,8003
2015-01-01,8886
2015-02-01,8828
2015-03-01,10201
2015-04-01,9456
2015-05-01,9735
2015-06-01,10205
2015-07-01,9948
2015-08-01,9168
2015-09-01,10041
2015-10-01,10177
2015-11-01,9666
2015-12-01,8541
2016-01-01,9611
2016-02-01,9388
2016-03-01,9765
2016-04-01,9142
2016-05-01,9441
2016-06-01,9262
2016-07-01,8674
2016-08-01,8514
2016-09-01,8807
2016-10-01,8719
2016-11-01,8461
2016-12-01,7298
2017-01-01,7576
2017-02-01,6880
2017-03-01,7510
2017-04-01,6706
2017-05-01,7064
2017-06-01,7050
2017-07-01,6802
2017-08-01,6704
2017-09-01,6991
2017-10-01,6973
2017-11-01,6860
2017-12-01,5999
2018-01-01,6610
2018-02-01,6243
2018-03-01,6740
2018-04-01,6497
2018-05-01,6935
2018-06-01,6746
2018-07-01,6649
2018-08-01,6284
2018-09-01,6525
2018-10-01,7048
2018-11-01,6810
2018-12-01,5966
2019-01-01,6602
2019-02-01,6275
2019-03-01,6765
2019-04-01,6346
2019-05-01,6883
2019-06-01,6610
2019-07-01,6599
2019-08-01,6495
2019-09-01,6513
2019-10-01,6983
2019-11-01,6744
2019-12-01,5945
2020-01-01,6641
2020-02-01,6421
2020-03-01,7192
2020-04-01,6538
2020-05-01,6618
2020-06-01,6558
2020-07-01,6697
2020-08-01,6292
2020-09-01,6724
2020-10-01,6652
2020-11-01,6375
2020-12-01,6027
2021-01-01,6174
2021-02-01,6035
2021-03-01,6824
2021-04-01,6249
2021-05-01,6458
2021-06-01,6431
2021-07-01,6449
2021-08-01,6198
2021-09-01,6516
2021-10-01,6595
2021-11-01,6617
2021-12-01,6097
2022-01-01,6480
2022-02-01,6037
2022-03-01,6885
2022-04-01,6245
2022-05-01,6932
2022-06-01,6522
2022-07-01,6622
2022-08-01,6536
2022-09-01,6659
2022-10-01,6851
2022-11-01,6896
2022-12-01,6019
2023-01-01,6177
2023-02-01,5842
2023-03-01,6727
2023-04-01,6159
2023-05-01,6816
2023-06-01,6487
2023-07-01,6660
2023-08-01,6591
2023-09-01,6754
2023-10-01,6945
2023-11-01,6627
2023-12-01,6107
2024-01-01,6582
2024-02-01,6391
2024-03-01,6568
2024-04-01,6354
2024-05-01,6803
2024-06-01,6561
2024-07-01,6861
2024-08-01,6416
2024-09-01,6424
2024-10-01,6587
2024-11-01,6376
2024-12-01,5330
2025-01-01,6329
2025-02-01,5722
2025-03-01,6466
2025-04-01,5909
2025-05-01,5977
2025-06-01,5702
2025-07-01,5965
2025-08-01,5648
2025-09-01,5983
2025-10-01,5975
2025-11-01,5644
2025-12-01,5406
