date,article_count
2010-01-01,7939
2010-02-01,7627
2010-03-01,8800
2010-04-01,8084
2010-05-01,7893
2010-06-01,9561
2010-07-01,9718
2010-08-01,8887
2010-09-01,9944
2010-10-01,10393
2010-11-01,10630
2010-12-01,9432
2011-01-01,9948
2011-02-01,9261
2011-03-01,10651
2011-04-01,9407
2011-05-01,10123
2011-06-01,9996
2011-07-01,9662
2011-08-01,9299
2011-09-01,10479
2011-10-01,10477
2011-11-01,10491
2011-12-01,8851
2012-01-01,9910
2012-02-01,9664
2012-03-01,10738
2012-04-01,9449
2012-05-01,11082
2012-06-01,10214
2012-07-01,10306
2012-08-01,10160
2012-09-01,9640
2012-10-01,10536
2012-11-01,10528
2012-12-01,8673
2013-01-01,10143
2013-02-01,9522
2013-03-01,10460
2013-04-01,9871
2013-05-01,10821
2013-06-01,10539
2013-07-01,10708
2013-08-01,10192
2013-09-01,10834
2013-10-01,11636
2013-11-01,11173
2013-12-01,9671
2014-01-01,10972
2014-02-01,10264
2014-03-01,11138
2014-04-01,10590
2014-05-01,11354
2014-06-01,11394
2014-07-01,10867
2014-08-01,9956
2014-09-01,9981
2014-10-01,9763
2014-11-01,9076
2014-12-01,8306
2015-01-01,9250
2015-02-01,9204
2015-03-01,10625
2015-04-01,9874
2015-05-01,10244
2015-06-01,10652
2015-07-01,10314
2015-08-01,9470
2015-09-01,10524
2015-10-01,10611
2015-11-01,10087
2015-12-01,8884
2016-01-01,9959
2016-02-01,9776
2016-03-01,10144
2016-04-01,9508
2016-05-01,9847
2016-06-01,9640
2016-07-01,8955
2016-08-01,8756
2016-09-01,9062
2016-10-01,8966
2016-11-01,8745
2016-12-01,7545
2017-01-01,7813
2017-02-01,7111
2017-03-01,7761
2017-04-01,6919
2017-05-01,7322
2017-06-01,7299
2017-07-01,7010
2017-08-01,6893
2017-09-01,7199
2017-10-01,7183
2017-11-01,7057
2017-12-01,6168
2018-01-01,6792
2018-02-01,6412
2018-03-01,6937
2018-04-01,6651
2018-05-01,7154
2018-06-01,6910
2018-07-01,6759
2018-08-01,6379
2018-09-01,6635
2018-10-01,7152
2018-11-01,6921
2018-12-01,6067
2019-01-01,6705
2019-02-01,6371
2019-03-01,6877
2019-04-01,6451
2019-05-01,6994
2019-06-01,6713
2019-07-01,6695
2019-08-01,6586
2019-09-01,6628
2019-10-01,7095
2019-11-01,6850
2019-12-01,6060
2020-01-01,6737
2020-02-01,6530
2020-03-01,7296
2020-04-01,6641
2020-05-01,6717
2020-06-01,6659
2020-07-01,6805
2020-08-01,6391
2020-09-01,6827
2020-10-01,6757
2020-11-01,6470
2020-12-01,6127
2021-01-01,6267
2021-02-01,6118
2021-03-01,6924
2021-04-01,6352
2021-05-01,6562
2021-06-01,6534
2021-07-01,6551
2021-08-01,6291
2021-09-01,6610
2021-10-01,6691
2021-11-01,6731
2021-12-01,6193
2022-01-01,6583
2022-02-01,6131
2022-03-01,6993
2022-04-01,6344
2022-05-01,7036
2022-06-01,6620
2022-07-01,6729
2022-08-01,6642
2022-09-01,6769
2022-10-01,6937
2022-11-01,7004
2022-12-01,6086
2023-01-01,6302
2023-02-01,5918
2023-03-01,6852
2023-04-01,6256
2023-05-01,6920
2023-06-01,6605
2023-07-01,6766
2023-08-01,6687
2023-09-01,6843
2023-10-01,7030
2023-11-01,6697
2023-12-01,6177
2024-01-01,6658
2024-02-01,6460
2024-03-01,6648
2024-04-01,6428
2024-05-01,6895
2024-06-01,6655
2024-07-01,6961
2024-08-01,6507
2024-09-01,6573
2024-10-01,6682
2024-11-01,6472
2024-12-01,5418
2025-01-01,6420
2025-02-01,5813
2025-03-01,6575
2025-04-01,6014
2025-05-01,6092
2025-06-01,5824
2025-07-01,6061
2025-08-01,5747
2025-09-01,6154
2025-10-01,6085
2025-11-01,5772
2025-12-01,5539
